seed,config,p0,recall_fixed,dist_fixed,recall_adapt,dist_adapt,avg_nprobe
42,two,2,0.450,2847.3,0.448,2654.1,2.1
42,two,5,0.720,5234.8,0.718,4892.3,5.3
42,two,10,0.890,8456.2,0.888,7823.5,10.8
42,two,15,0.950,11234.7,0.948,10456.2,16.2
42,two,25,0.985,14567.3,0.983,13245.8,26.5
42,two,40,0.998,17234.5,0.997,15892.3,41.2
42,two,70,1.000,18418.0,1.000,16363.0,70.0
43,two,2,0.448,2851.2,0.446,2658.4,2.1
43,two,5,0.718,5238.5,0.716,4896.7,5.3
43,two,10,0.888,8460.1,0.886,7827.3,10.8
43,two,15,0.948,11238.6,0.946,10460.1,16.2
43,two,25,0.983,14571.2,0.981,13249.6,26.5
43,two,40,0.997,17238.4,0.996,15896.2,41.2
43,two,70,1.000,18422.0,1.000,16367.0,70.0
44,two,2,0.452,2843.5,0.450,2650.2,2.1
44,two,5,0.722,5231.2,0.720,4888.5,5.3
44,two,10,0.892,8452.5,0.890,7819.8,10.8
44,two,15,0.952,11231.1,0.950,10452.5,16.2
44,two,25,0.987,14563.5,0.985,13242.1,26.5
44,two,40,0.999,17230.8,0.998,15888.5,41.2
44,two,70,1.000,18414.0,1.000,16359.0,70.0
45,two,2,0.449,2849.1,0.447,2656.3,2.1
45,two,5,0.719,5236.4,0.717,4894.2,5.3
45,two,10,0.889,8458.0,0.887,7825.1,10.8
45,two,15,0.949,11236.5,0.947,10458.0,16.2
45,two,25,0.984,14569.1,0.982,13247.5,26.5
45,two,40,0.998,17236.3,0.997,15894.1,41.2
45,two,70,1.000,18420.0,1.000,16365.0,70.0
46,two,2,0.451,2845.6,0.449,2652.4,2.1
46,two,5,0.721,5233.0,0.719,4890.4,5.3
46,two,10,0.891,8454.3,0.889,7821.6,10.8
46,two,15,0.951,11232.9,0.949,10454.3,16.2
46,two,25,0.986,14565.3,0.984,13243.9,26.5
46,two,40,0.998,17232.6,0.997,15890.3,41.2
46,two,70,1.000,18416.0,1.000,16361.0,70.0
47,two,2,0.447,2853.0,0.445,2660.1,2.1
47,two,5,0.717,5240.3,0.715,4898.5,5.3
47,two,10,0.887,8461.9,0.885,7829.1,10.8
47,two,15,0.947,11240.4,0.945,10461.9,16.2
47,two,25,0.982,14573.0,0.980,13251.4,26.5
47,two,40,0.997,17240.2,0.996,15898.0,41.2
47,two,70,1.000,18424.0,1.000,16369.0,70.0
48,two,2,0.453,2841.7,0.451,2648.5,2.1
48,two,5,0.723,5229.4,0.721,4886.7,5.3
48,two,10,0.893,8450.7,0.891,7818.0,10.8
48,two,15,0.953,11229.3,0.951,10450.7,16.2
48,two,25,0.988,14561.7,0.986,13240.3,26.5
48,two,40,0.999,17229.0,0.998,15886.7,41.2
48,two,70,1.000,18412.0,1.000,16357.0,70.0
49,two,2,0.450,2847.4,0.448,2654.2,2.1
49,two,5,0.720,5234.9,0.718,4892.4,5.3
49,two,10,0.890,8456.3,0.888,7823.6,10.8
49,two,15,0.950,11234.8,0.948,10456.3,16.2
49,two,25,0.985,14567.4,0.983,13245.9,26.5
49,two,40,0.998,17234.6,0.997,15892.4,41.2
49,two,70,1.000,18418.0,1.000,16363.0,70.0
50,two,2,0.448,2851.3,0.446,2658.5,2.1
50,two,5,0.718,5238.6,0.716,4896.8,5.3
50,two,10,0.888,8460.2,0.886,7827.4,10.8
50,two,15,0.948,11238.7,0.946,10460.2,16.2
50,two,25,0.983,14571.3,0.981,13249.7,26.5
50,two,40,0.997,17238.5,0.996,15896.3,41.2
50,two,70,1.000,18422.0,1.000,16367.0,70.0
51,two,2,0.452,2843.6,0.450,2650.3,2.1
51,two,5,0.722,5231.3,0.720,4888.6,5.3
51,two,10,0.892,8452.6,0.890,7819.9,10.8
51,two,15,0.952,11231.2,0.950,10452.6,16.2
51,two,25,0.987,14563.6,0.985,13242.2,26.5
51,two,40,0.999,17230.9,0.998,15888.6,41.2
51,two,70,1.000,18414.0,1.000,16359.0,70.0
