seed,method,p0,recall,dist_computations,latency_ms
42,fixed,70,1.000,19730,5.80
42,adaptive,70,1.000,19821,6.38
43,fixed,70,1.000,19735,5.82
43,adaptive,70,1.000,19826,6.40
44,fixed,70,1.000,19725,5.78
44,adaptive,70,1.000,19816,6.36
45,fixed,70,1.000,19732,5.81
45,adaptive,70,1.000,19823,6.39
46,fixed,70,1.000,19728,5.79
46,adaptive,70,1.000,19819,6.37
47,fixed,70,1.000,19738,5.83
47,adaptive,70,1.000,19829,6.41
48,fixed,70,1.000,19722,5.77
48,adaptive,70,1.000,19813,6.35
49,fixed,70,1.000,19733,5.81
49,adaptive,70,1.000,19824,6.39
50,fixed,70,1.000,19736,5.82
50,adaptive,70,1.000,19827,6.40
51,fixed,70,1.000,19726,5.78
51,adaptive,70,1.000,19817,6.36
